: 556.5/207 : Time 97, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 556.5/207 : Time 97, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 556/207 : Time 97, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 555.5/207 : Time 99, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 555.5/207 : Time 99, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 555.5/207 : Time 99, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 555.5/207 : Time 99, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 554.5/207 : Time 101, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 554.5/207 : Time 101, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 554.5/207 : Time 101, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 554.5/207 : Time 101, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 554.5/207 : Time 101, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 553.5/207 : Time 103, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 553.5/207 : Time 103, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 553.5/206.5 : Time 103, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 553.5/207 : Time 103, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 553/206.5 : Time 103, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 553/206 : Time 105, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 552.5/206 : Time 105, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 552.5/206 : Time 105, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 552.5/206 : Time 105, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 552/206 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 552/206 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 551.5/206 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 551.5/206 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 551.5/206 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 551/206 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 551/206 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 550.5/206 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 550.5/206 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 550/206 : Time 111, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 550/205 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 550/205 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 550/205 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 549.5/205 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 549.5/205 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 549/205 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 549/205 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 549/205 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 548.5/205 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 548/205 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 548/205 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 548/205 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 548/204 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 548/204 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 547/204 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 547/204 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 547/204 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 547/204 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 547/204 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 546.5/204 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 546/204 : Time 123, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 546/204 : Time 123, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 546/203 : Time 125, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 546/203 : Time 125, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 545.5/203 : Time 125, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 545.5/203 : Time 125, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 545/203 : Time 127, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 545/203 : Time 127, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 545/203 : Time 127, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 544.5/203 : Time 127, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 544.5/203 : Time 127, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 544.5/202 : Time 129, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 544/202 : Time 129, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 544/202 : Time 129, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 544/202 : Time 129, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 543.5/202 : Time 131, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 543.5/202 : Time 131, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 543.5/202 : Time 131, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 543/202 : Time 131, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 543/201.5 : Time 133, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 542.5/201 : Time 135, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 542.5/201 : Time 135, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 542.5/201 : Time 135, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 542.5/201 : Time 135, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 542/201 : Time 135, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 541.5/201 : Time 137, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 541.5/201 : Time 137, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 541.5/200.5 : Time 137, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 541.5/200 : Time 139, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 541.5/200 : Time 139, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 541/200 : Time 139, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 540.5/200 : Time 141, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 540.5/200 : Time 141, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 540.5/200 : Time 141, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 540.5/199.5 : Time 141, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 540.5/199 : Time 143, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 540.5/199 : Time 143, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 539.5/199 : Time 145, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 539.5/199 : Time 145, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 539.5/199 : Time 145, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 539.5/199 : Time 145, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 539.5/198.5 : Time 145, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 539.5/198.5 : Time 145, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 539/198 : Time 147, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 539/198 : Time 147, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 538.5/198 : Time 147, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 538.5/198 : Time 147, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 538.5/198 : Time 147, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 538.5/197.5 : Time 149, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 538/197.5 : Time 149, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 538/197 : Time 151, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 538/197 : Time 151, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 537.5/197 : Time 151, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 537.5/197 : Time 151, L1 State: GL-L, L2 State: GL--, (1 - 0): 
